File;Object;Material;Category;Brand;Size
00001.jpg;Drinkcarton;Plastic;Juice;Solevita;Small
00002.jpg;Drinkcarton;Plastic;Water;Barleduc;Large
00003.jpg;Drinkcarton;Plastic;Lemonade;Wicky;Small
00004.jpg;Drinkcarton;Plastic;Lemonade;Dubbelfrisss;Large
00005.jpg;Drinkcarton;Plastic;Juice;Solevita;Medium
00006.jpg;Drinkcarton;Plastic;Dairy;Vifit;Medium
00007.jpg;Drinkcarton;Plastic;Lemonade;Sisi;Small
00008.jpg;Drinkcarton;Plastic;Juice;Appelsientje;Small
00009.jpg;Drinkcarton;Plastic;Lemonade;Wicky;Small
00010.jpg;Drinkcarton;Plastic;Lemonade;Roosvicee;Small
00011.jpg;Drinkcarton;Plastic;Lemonade;Dubbelfrisss;Small
00012.jpg;Drinkcarton;Plastic;Lemonade;Wicky;Small
00013.jpg;Drinkcarton;Plastic;Lemonade;Dubbelfrisss;Large
00014.jpg;Drinkcarton;Plastic;Juice;Debeste;Small
00015.jpg;Drinkcarton;Plastic;Lemonade;Wicky;Small
00016.jpg;Drinkcarton;Plastic;Dairy;Campina;Large
00017.jpg;Drinkcarton;Plastic;Juice;Vitafit;Small
00018.jpg;Drinkcarton;Plastic;Juice;Solevita;Small
00019.jpg;Drinkcarton;Plastic;Juice;Solevita;Small
00020.jpg;Drinkcarton;Plastic;Juice;Hardthof;Small
00021.jpg;Drinkcarton;Plastic;Juice;Hardthof;Small
00022.jpg;Drinkcarton;Plastic;Dairy;Plus;Medium
00023.jpg;Drinkcarton;Plastic;Lemonade;Taksi;Small
00024.jpg;Drinkcarton;Plastic;Dairy;Melkan;Medium
00025.jpg;Drinkcarton;Plastic;Lemonade;Wicky;Small
00026.jpg;Drinkcarton;Plastic;Lemonade;Taksi;Small
00027.jpg;Drinkcarton;Plastic;Juice;Hardthof;Small
00028.jpg;Drinkcarton;Plastic;Juice;Hardthof;Large
00029.jpg;Drinkcarton;Plastic;Lemonade;Wicky;Small
00030.jpg;Drinkcarton;Plastic;Lemonade;Roosvicee;Small
00031.jpg;Drinkcarton;Plastic;Lemonade;Wicky;Small
00032.jpg;Drinkcarton;Plastic;Lemonade;Dubbelfrisss;Small
00033.jpg;Drinkcarton;Plastic;Lemonade;Wicky;Small
00034.jpg;Drinkcarton;Plastic;Lemonade;Wicky;Small
00035.jpg;Drinkcarton;Plastic;Juice;Appelsientje;Small
00036.jpg;Drinkcarton;Plastic;Juice;Solevita;Small
00037.jpg;Drinkcarton;Plastic;Lemonade;Wicky;Small
00038.jpg;Drinkcarton;Plastic;Lemonade;Wicky;Small
00039.jpg;Drinkcarton;Plastic;Juice;Perfekt;Small
00040.jpg;Drinkcarton;Plastic;Dairy;Campina;Large
00041.jpg;Drinkcarton;Plastic;Water;Crystalclear;Large
00042.jpg;Drinkcarton;Plastic;Dairy;Vifit;Medium
00043.jpg;Drinkcarton;Plastic;Juice;Dilly;Small
00044.jpg;Drinkcarton;Plastic;Lemonade;Taksi;Small
00045.jpg;Drinkcarton;Plastic;Juice;Albertheijn;Small
00046.jpg;Drinkcarton;Plastic;Icetea;Pickwick;Small
00047.jpg;Drinkcarton;Plastic;Dairy;Plus;Small
00048.jpg;Drinkcarton;Plastic;Dairy;Optimel;Small
00049.jpg;Drinkcarton;Plastic;Dairy;Arla;Small
00050.jpg;Drinkcarton;Plastic;Icetea;Pickwick;Small
00051.jpg;Drinkcarton;Plastic;Juice;Dilly;Small
00052.jpg;Drinkcarton;Plastic;Dairy;Vifit;Medium
00053.jpg;Drinkcarton;Plastic;Lemonade;Dubbelfrisss;Small
00054.jpg;Drinkcarton;Plastic;Juice;Dilly;Small
00055.jpg;Drinkcarton;Plastic;Lemonade;Wicky;Small
00056.jpg;Drinkcarton;Plastic;Lemonade;Wicky;Small
00057.jpg;Drinkcarton;Plastic;Juice;Dilly;Small
00058.jpg;Drinkcarton;Plastic;Lemonade;Roosvicee;Small
00059.jpg;Drinkcarton;Plastic;Juice;Appelsientje;Small
00060.jpg;Drinkcarton;Plastic;Lemonade;Wicky;Small
